index,title,job_id,register_date,company,location,time_opened,link,applications,experience_level,job_type,role,sectors,description
0,Analista de Informação de Dados Junior,3834863799,2024-03-07,Coca-Cola FEMSA,Greater São Paulo Area,1 week ago,https://br.linkedin.com/jobs/view/analista-de-informa%C3%A7%C3%A3o-de-dados-junior-at-coca-cola-femsa-3834863799?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=3U0bSaMFaf5Evx2VERLzmw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,NA,NA,NA
1,Faça sua Carreira de Dados no Itaú 🚀🧡,3684180320,2024-03-07,Itaú Unibanco,"São Paulo, São Paulo, Brazil",7 months ago,https://br.linkedin.com/jobs/view/fa%C3%A7a-sua-carreira-de-dados-no-ita%C3%BA-%F0%9F%9A%80%F0%9F%A7%A1-at-ita%C3%BA-unibanco-3684180320?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=HXe%2FtCMLDxObgAAxXzEjyw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,NA,NA,NA
2,ANALISTA DE DADOS JR,3839126983,2024-03-07,Banco BBC Digital,"São Paulo, São Paulo, Brazil",1 week ago,https://br.linkedin.com/jobs/view/analista-de-dados-jr-at-banco-bbc-digital-3839126983?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=LtO0gogPtPLIslOIPaClMA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,NA,NA,NA
3,Analista de Distribuição JR (Fretes),3830751640,2024-03-07,Cacau Show,"São Paulo, São Paulo, Brazil",3 weeks ago,https://br.linkedin.com/jobs/view/analista-de-distribui%C3%A7%C3%A3o-jr-fretes-at-cacau-show-3830751640?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=bEclg8NTsH%2Br646dj1gTtg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Não aplicável,Tempo integral,Gerenciamento e Manufatura,Fabricação de produtos alimentícios e bebidas,"Quer fazer parte da nossa turma?São mais 30 anos recheados de aprendizados e doces conquistas. A Cultura vivenciada na empresa traduz a essência de quem somos e onde queremos chegar.Vivemos para Juntos tocar a vida das pessoas compartilhando momentos especiais.Ingredientes como Foco, Atitude, União, Alegria e muita Paixão por realizar nos impulsiona a fazer sempre o melhor, transformando o Ordinário em Extraordinário.A nossa turma é formada por pessoas que fazem da Cacau show um lugar especial para se trabalhar, onde todos são tratados com igualdade, independentemente de gênero, raça, idade, origem ou orientação sexual, sendo nosso processo baseado em meritocracia.Na Cacau todos são Show!!!Se você é apaixonado pelo que faz, possui senso de dono e muito “gás” para trabalhar, essa vaga é a sua cara!!!Responsabilidades e atribuiçõesAnálise e acompanhamento dos custos de fretes, desde a realização até o gerenciamento de orçamentos, avaliando os cenários para identificar desvios e apoiar discussões da liderança quanto a implementação de ações de melhorias na malha de distribuição e redução de custos.Elaborar base para cálculo do orçamento de frete da área de transporte (transporte primário e secundário);Acompanhar os resultados do orçamento de frete, comparar as premissas utilizadas com os resultados e cenários reais (peso região, tabelas de frete, dispersão de peso bruto e peso líquido, impactos frete spot, etc) – visão desvios do orçamento;Simular custos de fretes com tabelas para cargas perfil lotação e fracionadas (cenários de reajustes de tarifas);Avaliar e implementar melhorias em procedimentos de transporte (visão fretes) que estejam vinculados a ferramenta de TMS;Preparar apresentações para gerência e diretoria;Estabelecer relacionamento com os transportadores para entendimento das taxas/generalidades que compõe as tarifas de frete e reajustes contratuais;Elaborar relatórios de fechamento (mensal e quinzenal) consolidando o custo do frete versus as metas de custo da área - levantamento de dados específicos e elaborar relatórios (KPIs).Requisitos e qualificaçõesSuperior cursando OU completo em Administração de Empresas, Logística e Engenharia e Afins;Pacote Office Avançado, Power BI;Aplicativos da área, como SAP, SSW, TMS em geral;Desejável experiência em elaboração/análise de tabelas de frete.Informações adicionaisAssistência Médica;Assistência Odontológica;Seguro de Vida;Vale transporte/Fretado ou Estacionamento na empresa;Cesta Básica ou Vale alimentação;Restaurante na empresa;Academia e Salão de Beleza na empresa;Desconto nos produtos Cacau Show (Matriz)."
4,Coordenador de frota,3830359467,2024-03-07,Coca-Cola FEMSA,"São Paulo, São Paulo, Brazil",2 weeks ago,https://br.linkedin.com/jobs/view/coordenador-de-frota-at-coca-cola-femsa-3830359467?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=ITfZ0MZnocb7VhWeLqNAWg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,NA,NA,NA
5,Analista de Control Desk Jr,3817410776,2024-03-07,Mobly,"São Paulo, São Paulo, Brazil",1 month ago,https://br.linkedin.com/jobs/view/analista-de-control-desk-jr-at-mobly-3817410776?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=oCEtAbgz357y7fWuLu6ELg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,NA,NA,NA
6,Analista Pleno de Melhoria da Experiência - Customer Experience,3825029697,2024-03-07,Mercado Livre Brasil,"Osasco, São Paulo, Brazil",3 weeks ago,https://br.linkedin.com/jobs/view/analista-pleno-de-melhoria-da-experi%C3%AAncia-customer-experience-at-mercado-livre-3825029697?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=il%2F8ouuUpYUO5I1u3H8dvw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Pleno-sênior,Tempo integral,"Administração, Consultoria e Estratégia/Planejamento","Tecnologia, Informação e Internet","No Mercado Livre, trabalhamos para promover uma cultura inclusiva, que busca a equidade e valoriza as diferentes perspectivas. Isso se traduz em gênero, religião, pessoas com deficiência, LGBTQI+, etnia, gerações e diversidade de experiências. Trabalhamos todas as nossas vagas com base nessa premissa. Estamos democratizando o comércio, o dinheiro e os pagamentos na América Latina. Em Customer Experience, inspiramos confiança nas pessoas que usam a nossa plataforma, gerando experiências extraordinárias. Estabelecemos uma conexão emocional em cada contato, oferecendo soluções e excedendo expectativas, através dos diversos canais de atendimento. Para isso, planejamos a capacidade da nossa operação, desenhamos modelos de atendimento, monitoramos a performance e gerenciamos o conhecimento de nossas equipes. Gere um impacto positivo nas experiências de milhões de pessoas, aprendendo com o mundo de e-commerce e fintech em um ambiente de trabalho desafiante e divertido! Temos um desafio para as pessoas que:Vibram energia empreendedora: são movidas pela curiosidade, nunca desistem e estão focadas em superar seus próprios limites.Dão o máximo, porque adoram trabalhar com compromisso e dedicação.Encaram as mudanças como oportunidades e aprendem com seus erros.A excelência e a execução são primordiais na sua forma de fazer as coisas.Promovem o bom clima, a alegria e a diversão.Sabem como construir com outras pessoas e desfrutam trabalhando em equipe. Imagine você empreendendo projetos desafiadores, dinâmicos e inovadores, e sendo responsável por:Entender e antecipar os problemas dos usuários, identificando oportunidades nos processos, serviços e produtos que oferecemos, reduzindo os atritos pela raiz, quando possível.Identificar oportunidades de melhoria com base em análise de dados e variáveis, como taxa de contato e NPSGerar instâncias de melhoria contínua, quantificando os atritos e cocriando soluções para proporcionar uma experiência extraordinária com os nossos produtos.Buscar soluções completas e eficazes para o problema do usuário que precisa entrar em contato, além de ferramentas para que a operação possa resolvê-los.Interagir com as equipes de Produto e Negócios para segmento, implementação e medição de iniciativas de melhoriaRequisitos:Possuir formação superior em Engenharia, Administração e Sistemas, Economia, Ciências Exatas ou áreas correlatas.Dominar as ferramentas de Excel, Planilhas Google e Power Point ou Apresentações Google.Ter conhecimento de bancos de dados, como SQL ou Teradata, é desejável.Nós lhe propomos:Ser parte de uma empresa com espírito empreendedor, na qual adoramos pensar grande e em longo prazo.Ser protagonista de seu desenvolvimento em um ambiente de oportunidades, aprendizagem, crescimento, expansão e projetos desafiadores. Compartilhar e aprender em equipe, com excelentes profissionais e especialistas.Um excelente clima de trabalho, com todo o necessário para você viver uma grande experiência. :) O Mercado Livre não faz contato oferecendo oportunidades em troca de pagamento de dinheiro. Você tem acesso a todas as oportunidades abertas no nosso site de carreiras. Caso receba pedidos de dinheiro, desconfie!"
7,Analytics Engineer Junior,3843082806,2024-03-07,XP Inc.,"São Paulo, São Paulo, Brazil",1 day ago,https://br.linkedin.com/jobs/view/analytics-engineer-junior-at-xp-inc-3843082806?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=FynPFTJpOiUTifSZbZxMng%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,NA,NA,NA
8,Analista de Informações Gerenciais Pleno,3847967460,2024-03-07,Brasilseg,"São Paulo, São Paulo, Brazil",1 day ago,https://br.linkedin.com/jobs/view/analista-de-informa%C3%A7%C3%B5es-gerenciais-pleno-at-brasilseg-3847967460?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=CwCS77kCsgSFzISDYMIi%2Bg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,NA,NA,NA,NA,NA,NA
9,Estágio em Análise de Dados,3815957638,2024-03-07,ESTADÃO,"São Paulo, São Paulo, Brazil",1 month ago,https://br.linkedin.com/jobs/view/est%C3%A1gio-em-an%C3%A1lise-de-dados-at-estad%C3%A3o-3815957638?refId=MhcZ6wAlupgQ%2FnV1FQ4L9A%3D%3D&trackingId=1XSj66fnSBcid%2Bp9%2BGD6Ig%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Não aplicável,Tempo integral,Educação e Treinamento,Assessoria em relações públicas e comunicação,"O Estadão é uma das maiores, mais importantes e sólidas empresas de informação e comunicação do Brasil. Acreditamos que a informação é uma poderosa ferramenta de transformação social e que empodera e prepara as pessoas para os desafios do futuro. Com foco na inovação e com os clientes no centro do nosso negócio estamos mudando nossa forma de pensar e trabalhar e passando por um processo de transformação digital que promete impactar (e muito) na vida dos nossos colaboradores e leitores. Quer fazer parte dessa história? Então vem pensar com a gente!Responsabilidades e atribuiçõesAuxiliar na rotina da área de dados, na coleta, organização e interpretação de informações relevantes para o negócio. Isso inclui manipulação de dados, geração de relatórios e visualização de informações para apoiar uma tomada de decisões.Auxiliar na rotina da área comercial, colaborar com nossa equipe de vendas e marketing, fornecendo insights baseados em dados que impulsionam estratégias comerciais eficazes. Isso envolve uma análise de tendências de mercado, comportamento do cliente e avaliação de desempenho de campanhas.Contribuir com novas ideias e processos, encorajamos a inovação e estamos abertos a novas ideias. Esperamos que você participe ativamente, propondo melhorias nos processos existentes e buscando abordagens criativas para resolver problemas.Requisitos e qualificaçõesÉ necessário estar cursando Engenharia de produção, Administração, Ciência de Dados ou Sistemas da Informação;Ter interesse em atuação direta com dados;Será considerado um diferencial:Power BISQLBIGQUERYPacote OfficeDisponibilidade para atuação em SP/ZN, modelo hibrido, no período das 09:00 as 15:00.Informações adicionaisDay off de aniversário;Casual every day;Vale Transporte;Restaurante Interno;Seguro de Vida;Acesso ao conteúdo digital completo do Estadão;Descontos exclusivos em instituições de ensino.Auxílio Psicológico - Vittude;"
