Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
CS,Credit Suisse Group AG,2.1600,0.0000,0.00%,224.214M,29.239M,8.513B,N/A
FRC,First Republic Bank,34.27,+3.11,+9.98%,180.668M,8.426M,6.382B,5.28
TSLA,"Tesla, Inc.",184.13,+3.68,+2.04%,121.374M,184.611M,582.606B,49.23
AMD,"Advanced Micro Devices, Inc.",96.60,+6.92,+7.72%,115.981M,57.048M,155.66B,105.00
BAC,Bank of America Corporation,28.97,+0.48,+1.68%,107.689M,45.964M,231.739B,9.17
KEY,KeyCorp,12.28,+0.53,+4.51%,76.11M,15.51M,11.443B,6.64
AAPL,Apple Inc.,155.85,+2.86,+1.87%,76.254M,70.672M,2.466T,26.37
INTC,Intel Corporation,30.18,+1.77,+6.23%,75.804M,42.807M,124.855B,15.32
AMZN,"Amazon.com, Inc.",100.04,+3.84,+3.99%,84.382M,69.77M,1.025T,N/A
F,Ford Motor Company,11.82,+0.11,+0.94%,73.01M,65.234M,47.117B,N/A
SCHW,The Charles Schwab Corporation,57.88,-1.67,-2.80%,66.534M,15.235M,105.858B,15.73
GOOGL,Alphabet Inc.,100.32,+4.21,+4.38%,65.568M,37.67M,1.286T,20.86
NVDA,NVIDIA Corporation,255.41,+13.13,+5.42%,58.495M,48.222M,636.482B,108.69
MSFT,Microsoft Corporation,276.20,+10.76,+4.05%,54.832M,30.507M,2.056T,30.15
GOOG,Alphabet Inc.,101.07,+4.52,+4.68%,54.588M,30.09M,1.293T,21.06
SNAP,Snap Inc.,11.09,+0.75,+7.25%,51.279M,32.487M,17.537B,N/A
CCL,Carnival Corporation & plc,9.03,+0.30,+3.44%,51.119M,39.113M,11.736B,N/A
USB,U.S. Bancorp,36.36,+0.92,+2.60%,50.812M,9.252M,55.696B,10.42
META,"Meta Platforms, Inc.",204.93,+7.18,+3.63%,50.82M,31.667M,531.31B,22.23
HBAN,Huntington Bancshares Incorporated,11.13,+0.28,+2.58%,47.795M,16.442M,16.134B,7.78
TFC,Truist Financial Corporation,32.94,+0.84,+2.62%,42.596M,8.812M,43.749B,7.24
LUMN,"Lumen Technologies, Inc.",2.4900,-0.1000,-3.86%,41.215M,29.866M,2.493B,N/A
WFC,Wells Fargo & Company,39.30,+0.45,+1.16%,40.345M,20.608M,149.099B,12.93
WAL,Western Alliance Bancorporation,36.91,+4.56,+14.10%,38.516M,3.777M,4.046B,3.07
FITB,Fifth Third Bancorp,26.46,+1.05,+4.13%,37.629M,6.979M,18.021B,10.14
ITUB,Itaú Unibanco Holding S.A.,4.5400,+0.1300,+2.95%,37.464M,31.57M,44.378B,7.96
MPW,"Medical Properties Trust, Inc.",8.01,-0.14,-1.72%,36.324M,16.34M,4.792B,5.56
PATH,UiPath Inc.,17.22,+2.58,+17.62%,33.557M,5.387M,9.52B,N/A
SWN,Southwestern Energy Company,4.8600,+0.1400,+2.97%,28.633M,25.05M,5.346B,2.98
RIG,Transocean Ltd.,5.77,-0.05,-0.86%,32.915M,23.766M,4.191B,N/A
RF,Regions Financial Corporation,18.61,+0.96,+5.44%,31.709M,8.827M,17.392B,8.78
BBD,Banco Bradesco S.A.,2.6700,+0.1000,+3.89%,30.241M,36.032M,28.415B,7.42
C,Citigroup Inc.,45.62,+0.80,+1.78%,28.476M,19.023M,88.672B,6.79
NYCB,"New York Community Bancorp, Inc.",6.86,-0.10,-1.44%,28.725M,10.814M,4.685B,5.04
LYFT,"Lyft, Inc.",9.60,+0.61,+6.79%,28.609M,19.216M,3.63B,N/A
AMC,"AMC Entertainment Holdings, Inc.",4.3900,+0.1800,+4.28%,27.791M,35.865M,2.254B,N/A
XOM,Exxon Mobil Corporation,101.03,-0.59,-0.58%,27.204M,15.629M,411.291B,8.02
NIO,NIO Inc.,8.50,+0.25,+3.03%,27.281M,45.905M,14.2B,N/A
T,AT&T Inc.,18.39,+0.08,+0.44%,30.905M,33.368M,131.118B,N/A
SOFI,"SoFi Technologies, Inc.",5.45,+0.04,+0.74%,25.307M,38.114M,4.358B,N/A
FCX,Freeport-McMoRan Inc.,36.10,+0.59,+1.66%,25.184M,12.104M,51.648B,16.19
BCS,Barclays PLC,6.98,+0.19,+2.80%,25.196M,5.231M,30.19B,5.37
KMI,"Kinder Morgan, Inc.",16.55,-0.03,-0.18%,24.75M,12.478M,37.204B,15.05
VZ,Verizon Communications Inc.,36.58,-0.48,-1.30%,29.054M,21.346M,153.632B,7.20
AAL,American Airlines Group Inc.,14.12,+0.26,+1.88%,24.581M,25.171M,9.198B,78.44
JPM,JPMorgan Chase & Co.,130.75,+2.49,+1.94%,24.341M,11.493M,384.844B,11.35
VALE,Vale S.A.,15.59,+0.17,+1.10%,23.982M,22.233M,71.962B,4.51
RIVN,"Rivian Automotive, Inc.",13.46,+0.43,+3.30%,30.319M,31.248M,11.891B,N/A
AUY,Yamana Gold Inc.,5.47,-0.04,-0.73%,18.446M,12.269M,5.257B,20.26
GM,General Motors Company,34.61,+0.28,+0.82%,23.842M,15.152M,48.268B,5.86
OIBZQ,Oi S.A.,0.0500,+0.0464,"+1,288.89%",23.64M,"12,829",2.405B,N/A
GOLD,Barrick Gold Corporation,17.40,-0.08,-0.46%,22.942M,18.309M,30.695B,69.60
LYG,Lloyds Banking Group plc,2.3000,+0.0800,+3.60%,22.837M,8.61M,40.83B,6.76
OXY,Occidental Petroleum Corporation,59.04,+2.24,+3.94%,22.646M,12.874M,53.14B,5.05
BABA,Alibaba Group Holding Limited,82.22,+0.71,+0.87%,22.365M,20.872M,218.288B,46.45
APE,"AMC Entertainment Holdings, Inc.",1.3500,-0.0700,-4.93%,21.713M,34.944M,4.641B,N/A
ET,Energy Transfer LP,12.25,+0.31,+2.60%,21.576M,13.812M,37.909B,9.01
FHN,First Horizon Corporation,15.56,+0.03,+0.19%,21.274M,6.267M,8.361B,10.59
PBR,Petróleo Brasileiro S.A. - Petrobras,10.02,+0.04,+0.40%,21.202M,24.387M,65.351B,1.87
CSCO,"Cisco Systems, Inc.",50.12,+1.06,+2.16%,21.428M,17.267M,205.282B,18.36
PFE,Pfizer Inc.,40.37,+0.09,+0.22%,21.068M,21.812M,226.842B,7.31
PLTR,Palantir Technologies Inc.,7.98,+0.08,+1.01%,20.005M,43.57M,16.769B,N/A
UBER,"Uber Technologies, Inc.",32.73,+0.76,+2.38%,19.865M,24.914M,65.784B,N/A
NOK,Nokia Oyj,4.5700,+0.0800,+1.78%,19.604M,17.417M,25.878B,6.09
KGC,Kinross Gold Corporation,3.8300,+0.0100,+0.26%,19.563M,13.881M,4.718B,191.50
